name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority,total_enrollment
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,14,Georgia,46000,83600,57.0,26,0.993127147766323,0.0011454753722794,0.0469644902634593,0.3298969072164948,0.0893470790378006,0.0022909507445589,0.3253150057273768,0.0595647193585337,0.0263459335624284,0.1191294387170675,0.5292096219931272,873.0
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,3,Alaska,50300,90000,67.0,6,0.6632124352331606,0.1502590673575129,0.0172711571675302,0.0224525043177892,0.0259067357512953,0.006908462867012,0.5544041450777202,0.0708117443868739,0.1519861830742659,0.0,0.2936096718480138,579.0
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,18,Connecticut,49700,85900,62.0,2,0.6651612903225806,0.0038709677419354,0.004516129032258,0.332258064516129,0.14,0.0012903225806451,0.4174193548387097,0.0129032258064516,0.0806451612903225,0.0070967741935483,0.4948387096774193,1550.0
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,7,Michigan,52100,99300,44.0,23,0.4976340694006309,0.002365930599369,0.0181388012618296,0.0370662460567823,0.0362776025236593,0.000788643533123,0.7878548895899053,0.0260252365930599,0.0623028391167192,0.029179810725552,0.1206624605678233,1268.0
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,15,Michigan,48400,89900,52.0,15,0.5472779369627507,0.0064469914040114,0.0150429799426934,0.0329512893982808,0.0365329512893982,0.0007163323782234,0.832378223495702,0.0257879656160458,0.0401146131805157,0.0100286532951289,0.1174785100286533,1396.0
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,10,Massachusetts,63800,116500,45.0,32,0.4827008928571428,0.0033482142857142,0.1305803571428571,0.1238839285714285,0.1311383928571428,0.0005580357142857,0.4190848214285714,0.0452008928571428,0.0502232142857142,0.0959821428571428,0.4347098214285714,1792.0
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46,21,Michigan,47600,85000,51.0,7,0.4631363370392042,0.002925687536571,0.0921591574019894,0.2053832650672908,0.1339964891749561,0.0038033937975424,0.3051492100643651,0.0207723815096547,0.0231129315389116,0.2126974839087185,0.4590403744880046,3418.0
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,15,North Carolina,46600,82700,47.0,9,0.5533118828359037,0.0024409186730278,0.014811938311328,0.0323976478420059,0.0389437479196715,0.0006102296682569,0.8569288805059359,0.0244646621546654,0.0174192832575169,0.0119826916675912,0.1136691445689559,18026.0
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,13,Arkansas,45000,76900,54.0,7,0.557323779370105,0.0100816530578236,0.0128311948008665,0.0765705715714047,0.0606565572404599,0.0006665555740709,0.776037327112148,0.0257457090484919,0.0,0.0374104315947342,0.1865522412931178,12002.0
Auburn University,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,1,Alabama,54400,104500,51.0,31,0.4939024390243902,0.0070623649274467,0.0231938870021611,0.0727848101265822,0.0231167026860142,0.0,0.8048394566224143,0.0,0.013931769064526,0.0550710095708552,0.1261577647422044,25912.0
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11.0,21,6136,65,10,Kansas,47800,84200,55.0,2,0.5847142374027731,0.018261751775448,0.0145417653026716,0.0950287453500169,0.0497125464998309,0.0037199864727764,0.7419682110246871,0.0131890429489347,0.0554616165032127,0.0081163341224213,0.1944538383496787,2957.0
Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,19,New York,59200,109800,57.0,19,0.998056743101438,0.0003886513797123,0.14263505635445,0.0652934317916828,0.1111542945977458,0.0003886513797123,0.5476097940147687,0.0516906335017489,0.0062184220753983,0.0746210649047804,0.3715507190050525,2573.0
Barry University,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,24,Florida,47400,84400,66.0,12,0.6561399389528059,0.0032871566095327,0.0213665179619629,0.245362761211552,0.2385536510918056,0.0014087814040854,0.2328011270251232,0.0102136651796196,0.1800892228222587,0.0669171166940596,0.5201925334585583,8518.0
Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,12,Texas,55500,101400,49.0,16,0.5627498001598721,0.0038123347475865,0.0577384246448994,0.0694213859681485,0.1319559736825923,0.0005534034311012,0.6422554264280883,0.0429809998155321,0.0092233905183545,0.0420586607636967,0.3064625222898604,16263.0
Belmont Abbey College,Yes,632,494,129,17,36,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52,14,North Carolina,46700,82900,49.0,7,0.5705128205128205,0.0025641025641025,0.0096153846153846,0.2506410256410256,0.0147435897435897,0.0,0.4044871794871795,0.0032051282051282,0.3012820512820512,0.0134615384615384,0.2807692307692307,1560.0
Belmont University,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,17,Tennessee,47300,80900,47.0,3,0.6181667586968526,0.0022087244616234,0.0216731087796797,0.0438983986747653,0.0414135836554389,0.0009663169519602,0.7915516289342904,0.031888459414688,0.0538376587520706,0.0125621203754831,0.1420485919381557,7244.0
Beloit College,Yes,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69,17,Wisconsin,47400,85700,59.0,24,0.5809669992325402,0.0038372985418265,0.0245587106676899,0.0460475825019186,0.0836531082118188,0.0023023791250959,0.6976208749040675,0.0168841135840368,0.0253261703760552,0.0997697620874904,0.1772831926323868,1303.0
Benedictine College,Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,3,Kansas,48700,91800,69.0,13,0.5257249766136576,0.0037418147801683,0.0121608980355472,0.0327408793264733,0.0523854069223573,0.0032740879326473,0.7904583723105706,0.0444340505144995,0.0289990645463049,0.0318054256314312,0.1487371375116931,2138.0
Bennington College,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,6,Vermont,48800,90000,50.0,5,0.6728476821192053,0.0172185430463576,0.0331125827814569,0.0132450331125827,0.0503311258278145,0.0013245033112582,0.6847682119205298,0.0304635761589403,0.0596026490066225,0.109933774834437,0.1456953642384106,755.0
Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,12,Georgia,44900,84900,44.0,21,0.6132292145153881,0.0009186954524575,0.0119430408819476,0.0427193385392742,0.0615525953146531,0.0013780431786862,0.8295819935691319,0.0284795590261828,0.0146991272393201,0.0087276067983463,0.1469912723932016,2177.0
Boston University,Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,13,Massachusetts,61400,113600,43.0,25,0.5843609865470852,0.0008408071748878,0.1073741903338316,0.0370577977080219,0.0753300946686597,0.0010587942202291,0.4559666168410563,0.0270303936223218,0.0956651718983557,0.1996761335326357,0.2486920777279521,32112.0
Bowdoin College,Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96,2,Maine,61300,112000,54.0,37,0.5002770083102493,0.0011080332409972,0.0631578947368421,0.0487534626038781,0.1268698060941828,0.0,0.6354570637119114,0.0648199445983379,0.0055401662049861,0.0542936288088642,0.3047091412742382,1805.0
Bowling Green State University,No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,25,Ohio,47200,87500,45.0,11,,,,,,,,,,,,
Bradley University,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,6,Illinois,55600,104900,46.0,38,0.5043396226415094,0.0018867924528301,0.0271698113207547,0.0462264150943396,0.0532075471698113,0.000943396226415,0.6616981132075471,0.0130188679245283,0.1228301886792452,0.0730188679245283,0.1424528301886792,5300.0
Brandeis University,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84,14,Massachusetts,60600,113200,48.0,29,0.5429772918418839,0.001009251471825,0.0978973927670311,0.0462573591253153,0.0543313708999158,0.0005046257359125,0.4445752733389403,0.0198486122792262,0.1027754415475189,0.2328006728343145,0.2198486122792262,5945.0
Brown University,Yes,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,1,Rhode Island,68200,127600,45.0,43,0.5099662346149657,0.0028319355190066,0.1197037359764731,0.059906328286679,0.0973750136150746,0.0014159677595033,0.4232654394946084,0.0409541444287114,0.086918636314127,0.1676287986058163,0.3221871255854482,9181.0
Bucknell University,Yes,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93,5,Pennsylvania,66700,122900,40.0,40,0.5195916114790287,0.0002759381898454,0.0347682119205298,0.0314569536423841,0.0516004415011037,0.0,0.782560706401766,0.0342163355408388,0.0038631346578366,0.0612582781456953,0.152317880794702,3624.0
Butler University,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83,7,Indiana,51800,99300,53.0,9,0.593440594059406,0.0016501650165016,0.024546204620462,0.0375412541254125,0.0301155115511551,0.0,0.8263201320132013,0.0187706270627062,0.0323844884488448,0.0286716171617161,0.1126237623762376,4848.0
California Polytechnic State University at San Luis Obispo,No,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59,12,California,65600,119500,51.0,38,0.4606162687010799,0.0015852571088873,0.1161200832259982,0.0070345784206876,0.1510948181908253,0.0019815713861091,0.5859011195878332,0.0686119092440305,0.0488457346675914,0.0188249281680372,0.3464282175765382,20186.0
Calvin College,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81,13,Michigan,50200,91100,54.0,23,0.5537190082644629,0.004007012271475,0.0433258201853243,0.0235411970949161,0.0323065364387678,0.0,0.7458051590282995,0.0277986476333583,0.0167793638868019,0.1064362634610568,0.1309792136238417,3993.0
Campbell University,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63,16,North Carolina,46300,82400,56.0,8,0.52860186854614,0.0065563022455335,0.0316341583346992,0.1550565481068677,0.0562202917554499,0.001475168005245,0.6149811506310441,0.0183576462874938,0.0958859203409277,0.0198328142927388,0.2693001147352893,6101.0
Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,1,Minnesota,58800,109900,47.0,45,0.5279533300923676,0.0014584346135148,0.089450656295576,0.0384054448225571,0.0631988332523091,0.0009722897423432,0.648031113271755,0.0452114730189596,0.0175012153621779,0.095770539620807,0.23869713174526,2057.0
