NAME,SAT25,SAT75,SATAVG,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority,total_enrollment
Agnes Scott College,1140,1400,1270,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,14,Georgia,46000,83600,57,26,0.993127148,0.001145475,0.04696449,0.329896907,0.089347079,0.002290951,0.325315006,0.059564719,0.026345934,0.119129439,0.529209622,873
Alaska Pacific University,990,1160,1075,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,3,Alaska,50300,90000,67,6,0.663212435,0.150259067,0.017271157,0.022452504,0.025906736,0.006908463,0.554404145,0.070811744,0.151986183,0,0.293609672,579
Albertus Magnus College,710,770,740,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,18,Connecticut,49700,85900,62,2,0.66516129,0.003870968,0.004516129,0.332258065,0.14,0.001290323,0.417419355,0.012903226,0.080645161,0.007096774,0.49483871,1550
Albion College,730,860,795,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,7,Michigan,52100,99300,44,23,0.497634069,0.002365931,0.018138801,0.037066246,0.036277603,0.000788644,0.78785489,0.026025237,0.062302839,0.029179811,0.120662461,1268
Alma College,800,1050,925,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,15,Michigan,48400,89900,52,15,0.547277937,0.006446991,0.01504298,0.032951289,0.036532951,0.000716332,0.832378223,0.025787966,0.040114613,0.010028653,0.11747851,1396
Amherst College,1370,1550,1460,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,10,Massachusetts,63800,116500,45,32,0.482700893,0.003348214,0.130580357,0.123883929,0.131138393,0.000558036,0.419084821,0.045200893,0.050223214,0.095982143,0.434709821,1792
Andrews University,1050,1300,1175,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46,21,Michigan,47600,85000,51,7,0.463136337,0.002925688,0.092159157,0.205383265,0.133996489,0.003803394,0.30514921,0.020772382,0.023112932,0.212697484,0.459040374,3418
Appalachian State University,1130,1300,1215,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,15,North Carolina,46600,82700,47,9,0.553311883,0.002440919,0.014811938,0.032397648,0.038943748,0.00061023,0.856928881,0.024464662,0.017419283,0.011982692,0.113669145,18026
Arkansas Tech University,1020,1200,1110,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,13,Arkansas,45000,76900,54,7,0.557323779,0.010081653,0.012831195,0.076570572,0.060656557,0.000666556,0.776037327,0.025745709,0,0.037410432,0.186552241,12002
Auburn University,1170,1350,1260,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,1,Alabama,54400,104500,51,31,0.493902439,0.007062365,0.023193887,0.07278481,0.023116703,0,0.804839457,0,0.013931769,0.05507101,0.126157765,25912
Baker University,970,1130,1050,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65,10,Kansas,47800,84200,55,2,0.584714237,0.018261752,0.014541765,0.095028745,0.049712546,0.003719986,0.741968211,0.013189043,0.055461617,0.008116334,0.194453838,2957
Barnard College,1425,1550,1487.5,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,19,New York,59200,109800,57,19,0.998056743,0.000388651,0.142635056,0.065293432,0.111154295,0.000388651,0.547609794,0.051690634,0.006218422,0.074621065,0.371550719,2573
Barry University,1100,1200,1150,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,24,Florida,47400,84400,66,12,0.656139939,0.003287157,0.021366518,0.245362761,0.238553651,0.001408781,0.232801127,0.010213665,0.180089223,0.066917117,0.520192533,8518
Baylor University,1160,1350,1255,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,12,Texas,55500,101400,49,16,0.5627498,0.003812335,0.057738425,0.069421386,0.131955974,0.000553403,0.642255426,0.042981,0.009223391,0.042058661,0.306462522,16263
