name,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority,total_enrollment
University of Phoenix-Arizona,0.6906730784019194,0.004490948892386406,0.010043115160028504,0.16125890115298447,0.07169112935060674,0.00522406041249058,0.2984174019142926,0.09760636525358994,0.3340681537380997,0.017199924125520995,0.35031452022208664,195059.0
Ivy Tech Community College-Central Indiana,0.5864946972438829,0.0039153752508801366,0.01501442218054596,0.13566720407111288,0.06068283266980335,0.0,0.6744754822930719,0.019785257570273856,0.09019620746005111,0.00026321850426084956,0.23506509174261617,91179.0
Liberty University,0.5932923311113566,0.0054874231208337934,0.010508353895824893,0.1810849629875152,0.014559471636037762,0.0018536932690064942,0.47952957929756074,0.021753274653506672,0.2725051866583189,0.012718054481395548,0.2352471795627248,81459.0
Lone Star College system,0.594682614021183,0.002420923697672743,0.06049427192160819,0.1742776857122271,0.34225808775848404,0.0,0.3402982923841775,0.028777289430074213,0.032754521219108004,0.018718927876648174,0.6082282585200662,69395.0
Miami Dade College,0.5802471005057082,0.000711625230899676,0.009917330345516761,0.16234139841928352,0.679374981073797,0.0006207794567422705,0.06313781303939678,0.0034218574932622717,0.029176634466886717,0.05129758047421494,0.8563879720195016,66046.0
Grand Canyon University,0.7486999229583975,0.009405495634309194,0.03925911658962506,0.2223934257832563,0.1433776322547509,0.004734848484848485,0.46088533641499746,0.02500642013353878,0.09493772470467386,0.0,0.4441769388803287,62304.0
Texas A&M University at College Station,0.4749521430193699,0.0028065280166120503,0.057509490282599524,0.0304824632555725,0.18260277083806495,0.0009571396126017975,0.6076700950650531,0.026670127510463645,0.006213296129262516,0.08508808928976996,0.30102851951591447,61642.0
University of Central Florida,0.5509898464627182,0.001974756035348133,0.05501341188474007,0.10532032188523376,0.2157091842611944,0.002122862737999243,0.547879605707045,0.030296048842299275,0.016752513699869995,0.02493129494627018,0.4104365856468149,60767.0
Ohio State University,0.49137546723363396,0.0013031103185761805,0.05725112307534035,0.053290353554404854,0.03513254003634992,0.0006001165940811358,0.6906999074105826,0.025770721168684202,0.03005726826926374,0.10589485957271698,0.17334796474743663,58322.0
Houston Community College,0.5835506898208525,0.0019905278330702176,0.09250806506966848,0.31779806438327957,0.3159276546091015,0.002230763950854554,0.14359255954423777,0.015100555975015443,0.019750840826412246,0.09110096780836022,0.7455556318209898,58276.0
Western Governors University,0.605731481641618,0.0062261116203455496,0.03796198612960689,0.09411805399422356,0.07421179156361875,0.00498088929627644,0.7246156240812162,0.028709292471593366,0.027913733764549212,0.0012625170785700696,0.24620812507566456,57821.0
American Public University system,0.38250577868923685,0.006899668051234814,0.019221745251047116,0.20580823441491858,0.0982985453344688,0.009141625679973583,0.5663463042458159,0.035680147378299935,0.04998348945932324,0.008620240184918056,0.37504996610994285,57539.0
Walden University,0.7639878899363839,0.005116118647965049,0.025733885184333564,0.36242047980378633,0.05788687054495286,0.002222733195370583,0.3885950793285813,0.020886027439258065,0.12681076109450448,0.010328044761247797,0.47426611481566644,52188.0
Kaplan University at Davenport (Iowa),0.7661194202006998,0.0165711868968434,0.01983928640086124,0.30785497327848055,0.0872198085278173,0.005978699680879695,0.4665308162559114,1.9224114729516707e-05,0.0902187704256219,0.005767234418855012,0.4374831788996117,52018.0
Northern Virginia Community College,0.5148095635791559,0.0026025987142385457,0.14242430127993475,0.1764523083496805,0.1993512925592868,0.005166352671548158,0.39033154000038844,0.03602851205158584,0.021714219123273835,0.025928875250063124,0.5620253656262746,51487.0
University of Texas at Austin,0.507941457330501,0.0018708709293941107,0.1622201001695477,0.03821643638064428,0.19168631730750493,0.001149806092023464,0.4690429325901818,0.030713464424219985,0.01032876658936332,0.09477130551712042,0.42585699530333443,51313.0
Ashford University,0.7048812381677304,0.009407264281671449,0.012588559049124657,0.3654975896324921,0.09352616273396179,0.007904444054101529,0.46052657259402385,0.030036887405585806,0.01863887425102953,0.0018736459980092512,0.5189609071569373,51237.0
University of Minnesota-Twin Cities,0.5166285412634172,0.003186892681877725,0.0781668524058107,0.03489940758988797,0.030187498778031948,0.000606096154222144,0.6583768353960154,0.026453164408469704,0.043462959704381486,0.12466029288130291,0.1734999120183002,51147.0
Tarrant County College District,0.5814606186382053,0.004565668544322561,0.05830615673485522,0.18592746318806205,0.2891985374048819,0.002114833481569325,0.41853938136179464,0.021168099614586423,0.012155351319300326,0.008024508350627532,0.5612807589682774,50595.0
Arizona State University,0.4295310015898251,0.012937201907790142,0.06329491255961844,0.035830683624801275,0.1637321144674086,0.002046899841017488,0.5197734499205088,0.03507551669316375,0.009240858505564388,0.15806836248012718,0.31291732909379966,50320.0
Michigan State University,0.5145064994708572,0.0025358918551945846,0.04420838242047882,0.06381661708032986,0.037499251213034886,0.0009185120105429205,0.6612288093288872,0.02430063297458118,0.0128991034524071,0.15259279966454345,0.17327928755416225,50081.0
Florida International University,0.5595041322314049,0.0008466035073573876,0.028905462608345093,0.12047974198750253,0.6291271920983673,0.0011489619028421689,0.11455351743600081,0.021003829873009475,0.010985688369280386,0.0729490022172949,0.801511791977424,49610.0
University of Florida,0.5422673325380618,0.002769971087163105,0.07078590347560605,0.06370933500475141,0.1643179198932449,0.004852504094300329,0.5523160597666754,0.022402393902019854,0.032006308255322594,0.08683960452091631,0.3288380274570857,49459.0
New York University,0.5510614116978528,0.0019076998011121483,0.14843528026951333,0.048179567317449365,0.0865973941632504,0.0009132605430856029,0.3516256037666924,0.025327759061574057,0.10372610301578926,0.23328733206153346,0.3113609611559849,49274.0
Rutgers University at New Brunswick,0.5349125635619496,0.0006201165819174004,0.22427549712679318,0.08007772127826698,0.11240646574889412,0.002542477985861342,0.4323452809128116,0.0277192112117078,0.02313034850551904,0.09688288064822853,0.44764148993344083,48378.0
University of Maryland University College,0.48507493842107463,0.004550578215672358,0.04742620966058531,0.2995031937544358,0.09660585312904438,0.006199640963553626,0.4037907568989271,0.03448419822151714,0.09297374024130589,0.01446582891495846,0.4887696739448086,47906.0
Pennsylvania State University at University Park,0.46128826530612244,0.0007653061224489796,0.055782312925170066,0.038754251700680274,0.05246598639455782,0.000744047619047619,0.6686437074829932,0.02300170068027211,0.01758078231292517,0.14226190476190476,0.17151360544217686,47040.0
Indiana University at Bloomington,0.5023483281627025,0.0011849362288865908,0.043260944501895895,0.03865046535677353,0.04429507066528783,0.00047397449155463635,0.6946311616683902,0.030399000344708722,0.011504653567735263,0.1355997931747673,0.1582643915891072,46416.0
University of Illinois at Urbana-Champaign,0.4490695613646433,0.0008639787328311918,0.13560035445281346,0.048427115640230396,0.07496677004873727,0.0010412051395657952,0.48243243243243245,0.023238812583074878,0.012760301284891449,0.22066902968542312,0.284138236597253,45140.0
University of Washington,0.5218158270811004,0.005202750982493748,0.19431046802429439,0.024406037870668095,0.06513486959628438,0.0035727045373347625,0.4692524115755627,0.05374687388352983,0.035280457306180776,0.1490934262236513,0.3463737048946052,44784.0
Broward College,0.5890432693397403,0.001903941612457218,0.029579092907817493,0.33178449194224713,0.34119087014664884,0.0030145742197239286,0.20505904485595775,0.01681815091003876,0.03982411206056347,0.030825721344545434,0.7242911217389333,44119.0
University of Michigan at Ann Arbor,0.4787621776504298,0.001833810888252149,0.11401719197707737,0.03993123209169054,0.04430945558739255,0.0004813753581661891,0.5687106017191977,0.02906590257879656,0.06379369627507163,0.1378567335243553,0.22963896848137536,43625.0
Southern New Hampshire University,0.6075934741415169,0.0035125017331423024,0.007787586079401026,0.05483662245228082,0.023316541110135418,0.000762582613116421,0.25063548551093034,0.0013865138420298562,0.6288533530526413,0.028908813606322505,0.09160234783010583,43274.0
Valencia College,0.5526528912233611,0.003332022120924636,0.04391790267718722,0.17331142837309393,0.32313672860217046,0.004396418076220006,0.31469097808732677,0.023601823356549506,0.09345859268343476,0.020154106023092765,0.5716963232061457,43217.0
University of Wisconsin at Madison,0.507324287525236,0.0025588055777266538,0.05119958683506268,0.022559744588947838,0.045729846471665336,0.0009859617822432977,0.7144701629184469,0.02441429175078642,0.013404385182402929,0.12467721489271796,0.14744823700643223,42598.0
University of Southern California,0.5208583610110004,0.001719548677360846,0.18128283042423385,0.052717122464843474,0.12451416860999223,0.002449767978705863,0.3279391326879137,0.032506536640520105,0.0481709184274374,0.22869997408899254,0.3951899747956564,42453.0
University of Arizona,0.5183019225305426,0.012240742494554408,0.05663415096126527,0.03319443129084194,0.2226773368690217,0.002249266028980017,0.5220664835685197,0.03807178710105123,0.025357514916185243,0.08750828676958046,0.36506771474571453,42236.0
University of South Florida,0.5575373169917497,0.002074490915160475,0.06347465305927798,0.10248462015356001,0.17673708808240737,0.0025513853784157564,0.5247269779197864,0.031069674281081597,0.01957651771662931,0.07730459249368114,0.3783919118699032,41938.0
University of California at Los Angeles,0.5282829489783726,0.0015772493726849085,0.2690166089138487,0.029370295136814436,0.16886127374835702,0.00272433982554666,0.30646433265623135,0.043613334926514515,0.024901421914207193,0.1534711435057952,0.5151631019237662,41845.0
Excelsior College,0.5468008765381559,0.006020179642160522,0.030991884797842366,0.21561875406362127,0.0923977171478797,0.005779372456474101,0.5929636140342428,0.026007176054133455,0.02432152575432851,0.005899776049317311,0.3768150841621114,41527.0
Florida State University,0.549289283461893,0.0028137583078639695,0.02495997671372435,0.08191432591083297,0.1599476058797846,0.001431135691068743,0.6419735118614467,0.025784698976374133,0.015693979527482655,0.04548100713142192,0.2968515014796488,41226.0
Austin Community College,0.5562528999487167,0.00818090795868031,0.04774231360961196,0.07304207672959047,0.3025226501257662,0.0018803877994578622,0.4567632909228553,0.027644142714107794,0.05040416127377958,0.031820068866150575,0.4610124789372146,40949.0
University of Houston,0.4933274673705822,0.0011487510387642372,0.19841619005719313,0.10199442733538643,0.26870997702497923,0.002370826611917681,0.2897541183946815,0.02976976096201789,0.009458864936207656,0.09837708363885223,0.6024099330302586,40914.0
California State University at Northridge,0.5515187760085719,0.0016196954972465176,0.10911763972988463,0.053973237646707035,0.39508110936682367,0.0022924920884104557,0.25862799332187086,0.03211980763001171,0.059804141436794495,0.08736388328225063,0.594203981959084,40131.0
Purdue University at West Lafayette,0.4162809418394043,0.0014338901187361643,0.05222378748239082,0.030237472328436304,0.0396206480177098,0.0007798349768565104,0.6098812638357819,0.01931978265244516,0.018087140269671967,0.22841618031797142,0.14361541557657476,39752.0
