rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
4,Tuskegee University,Alabama,54500,93500,61.0,30
5,Samford University,Alabama,48400,90500,52.0,3
8,University of Alabama at Birmingham,Alabama,48600,87200,57.0,17
14,Huntingdon College,Alabama,42400,78900,69.0,14
19,University of Mobile,Alabama,40600,74100,77.0,7
22,University of Montevallo,Alabama,38900,70700,49.0,7
23,Judson College,Alabama,37900,67600,65.0,13
3,Alaska Pacific University,Alaska,50300,90000,67.0,6
4,Northern Arizona University,Arizona,49600,90000,56.0,12
2,Hendrix College,Arkansas,48100,90300,58.0,33
4,Harding University,Arkansas,49200,88600,47.0,10
5,John Brown University,Arkansas,47000,82700,53.0,9
8,Ouachita Baptist University,Arkansas,44100,80200,58.0,18
13,Arkansas Tech University,Arkansas,45000,76900,54.0,7
1,Harvey Mudd College,California,88800,158200,55.0,85
6,Santa Clara University,California,69900,134700,44.0,29
9,Claremont McKenna College,California,68500,125400,43.0,16
11,University of Southern California,California,64500,120600,47.0,23
18,Loyola Marymount University,California,58500,113300,39.0,9
23,University of San Francisco,California,60600,109900,52.0,6
25,University of San Diego,California,58900,109400,48.0,12
4,University of Denver,Colorado,55700,105100,48.0,12
5,Colorado College,Colorado,53100,97900,48.0,23
12,University of Northern Colorado,Colorado,47700,87100,52.0,7
13,Fort Lewis College,Colorado,48300,82600,55.0,19
1,Yale University,Connecticut,70300,138300,53.0,22
3,Wesleyan University,Connecticut,61600,117000,53.0,21
4,Fairfield University,Connecticut,62300,116900,41.0,17
7,University of Hartford,Connecticut,55200,101600,53.0,15
8,Connecticut College,Connecticut,57500,100800,36.0,30
9,Sacred Heart University,Connecticut,55000,100500,46.0,15
12,Central Connecticut State University,Connecticut,53100,93700,45.0,15
17,Eastern Connecticut State University,Connecticut,49200,87800,43.0,14
18,Albertus Magnus College,Connecticut,49700,85900,62.0,2
1,University of Delaware,Delaware,58600,105400,43.0,22
4,Wesley College,Delaware,45400,77300,50.0,2
3,Florida Institute of Technology,Florida,58300,105400,53.0,48
4,University of Florida,Florida,55800,102800,52.0,29
6,University of Miami,Florida,56200,99600,48.0,22
8,Florida State University,Florida,50800,92700,49.0,18
13,Florida International University,Florida,49600,90100,51.0,16
16,University of Central Florida,Florida,49700,88600,50.0,16
17,Eckerd College,Florida,49200,88400,52.0,25
18,Rollins College,Florida,49000,87000,53.0,7
19,University of North Florida,Florida,48800,86600,51.0,11
21,Stetson University,Florida,47000,86000,44.0,7
24,Barry University,Florida,47400,84400,66.0,12
2,Emory University,Georgia,62000,110800,44.0,20
