INSTNM,SAT25,SAT75
Alabama A & M University,840,1030
University of Alabama at Birmingham,1173,1388
University of Alabama in Huntsville,1170,1420
Alabama State University,839,1050
The University of Alabama,1070,1370
Auburn University at Montgomery,950,1160
Birmingham-Southern College,1090,1240
Faulkner University,990,1205
Huntingdon College,980,1070
Jacksonville State University,1010,1240
University of West Alabama,880,980
Marion Military Institute,1100,1300
University of Montevallo,970,1200
Samford University,1100,1290
University of South Alabama,985,1215
Spring Hill College,970,1060
Troy University,935,1150
Tuskegee University,920,1130
University of Alaska Fairbanks,1110,1360
University of Arizona,1120,1370
Embry-Riddle Aeronautical University-Prescott,1140,1350
Arizona Christian University,960,1170
University of Arkansas at Little Rock,1020,1180
Lyon College,1050,1195
University of Arkansas,1050,1220
University of Arkansas at Pine Bluff,810,1016
Arkansas State University,1030,1200
University of Central Arkansas,980,1160
Central Baptist College,903,1136
Harding University,1050,1300
Henderson State University,978,1151
Hendrix College,1090,1340
John Brown University,1100,1320
University of the Ozarks,950,1130
Williams Baptist University,835,1110
Southern Arkansas University Main  ,930,1140
Azusa Pacific University,966,1266
Biola University,1103,1348
California Lutheran University,1090,1290
Chapman University,1210,1410
Concordia University-Irvine,1030,1260
Claremont McKenna College,1420,1530
Dominican University of California,1063,1275
Fresno Pacific University,970,1240
Harvey Mudd College,1480,1560
University of La Verne,905,1135
La Sierra University,880,1140
Loyola Marymount University,1250,1420
Mills College,1378,1413
Occidental College,1340,1490
Otis College of Art and Design,1130,1360
Hope International University,1000,1180
University of the Pacific,1120,1380
Pepperdine University,1260,1440
Point Loma Nazarene University,1170,1350
Pomona College,1470,1570
University of Redlands,1110,1280
University of San Francisco,1190,1390
Santa Clara University,1330,1490
Scripps College,1380,1520
Vanguard University of Southern California,980,1200
Southern California Institute of Architecture,1180,1410
University of Southern California,1410,1540
Thomas Aquinas College,1180,1370
Westmont College,1160,1460
Whittier College,1120,1340
Adams State University,920,1140
University of Colorado Denver/Anschutz Medical  ,1030,1250
University of Colorado Boulder,1170,1390
Colorado School of Mines,1310,1470
Colorado State University-Fort Collins,1080,1290
University of Denver,1200,1390
Fort Lewis College,970,1200
Colorado Mesa University,948,1200
Metropolitan State University of Denver,910,1140
University of Northern Colorado,970,1210
Regis University,1030,1270
Colorado State University Pueblo,940,1130
United States Air Force Academy,1208,1490
Western Colorado University,1040,1230
University of Bridgeport,950,1130
Central Connecticut State University,950,1180
Connecticut College,1333,1476
University of Connecticut,1230,1430
Fairfield University,1230,1380
University of Hartford,1080,1270
University of New Haven,1100,1280
University of Saint Joseph,1036,1181
Trinity College,1333,1480
United States Coast Guard Academy,1200,1390
Wesleyan University,1300,1510
Yale University,1480,1580
University of Delaware,1155,1340
American University,1280,1440
Gallaudet University,765,1158
George Washington University,1310,1490
Georgetown University,1410,1550
Howard University,1080,1290
The Baptist College of Florida,931,1055
Bethune-Cookman University,820,990
Lynn University,1030,1200
Johnson University Florida,820,1010
University of Central Florida,1170,1350
Embry-Riddle Aeronautical University-Daytona Beach,1140,1330
Florida Agricultural and Mechanical University,1010,1150
Florida Atlantic University,1020,1200
Flagler College,990,1180
Florida College,900,1160
Florida Institute of Technology,1140,1340
Florida International University,1060,1240
Florida Southern College,1160,1335
Florida State University,1180,1340
University of Florida,1300,1470
Jacksonville University,1020,1250
University of Miami,1300,1460
University of North Florida,1000,1210
Nova Southeastern University,1040,1310
Palm Beach Atlantic University,1030,1240
Saint Leo University,930,1150
University of South Florida,1140,1330
St. Thomas University,860,1060
Stetson University,1090,1295
Southeastern University,960,1183
The University of Tampa,1070,1240
Trinity Baptist College,866,1100
